batchRecordId,name,grade,gradeBand,region,area,crag,sector,wall,number,page,rowKey,sourceImage,ocrStatus,confidence,canonicalExactMatch,canonicalGrade,gradeAlignment,sourceApproval,reconciliationStatus,verificationStatus,canonicalWrite,websiteMainDatasetWrite,publishReady,requiredAction
GBR-20260801-0001,NOSE,6+,UIAA 5–7,Peilstein,Peilstein,Thalhofgraben,Klapf,Klapf,254,241,Peilstein | Klapf | NOSE,image-6.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,TAXONOMY_HOLD,provisional,NO,NO,false,Confirm Peilstein/Thalhofgraben taxonomy against contents or title pages.
GBR-20260801-0035,BISSIGE KREUZSPINNE,6+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,13,93,Helenental | Engelstein | BISSIGE KREUZSPINNE,image-21.jpg,Readable — manual transcription,85,Yes,6+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0036,OSSIWABA,7+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,14,93,Helenental | Engelstein | OSSIWABA,image-21.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0037,GICHTFINGER,9-,UIAA 8+,Helenental,Helenental,Engelstein,Main,Engelstein,15,93,Helenental | Engelstein | GICHTFINGER,image-21.jpg,Readable — manual transcription,85,Yes,9-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0038,AMEISENFUPP,5+,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,16,93,Helenental | Engelstein | AMEISENFUPP,image-21.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0039,KURZER MURX,6-,UIAA 5–7,Helenental,Helenental,Engelstein,Main,Engelstein,17,93,Helenental | Engelstein | KURZER MURX,image-21.jpg,Readable — manual transcription,85,Yes,6-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0040,UNTERARMALARM,4+,UIAA 1–4,Helenental,Helenental,Dachswandl,Main,Dachswandl,1,94,Helenental | Dachswandl | UNTERARMALARM,image-22.jpg,Readable — manual transcription,85,Yes,4+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0041,WILDER DACHS,6+,UIAA 5–7,Helenental,Helenental,Dachswandl,Main,Dachswandl,2,94,Helenental | Dachswandl | WILDER DACHS,image-22.jpg,Readable — manual transcription,85,Yes,6+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0042,BISSIGER DACHS,7,UIAA 5–7,Helenental,Helenental,Dachswandl,Main,Dachswandl,3,94,Helenental | Dachswandl | BISSIGER DACHS,image-22.jpg,Readable — manual transcription,85,Yes,7,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0043,DACHSFALLE,6+,UIAA 5–7,Helenental,Helenental,Dachswandl,Main,Dachswandl,4,94,Helenental | Dachswandl | DACHSFALLE,image-22.jpg,Readable — manual transcription,85,Yes,6+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0044,DACHSFELL,5+,UIAA 5–7,Helenental,Helenental,Dachswandl,Main,Dachswandl,5,94,Helenental | Dachswandl | DACHSFELL,image-22.jpg,Readable — manual transcription,85,Yes,5+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0045,DACHSBEUTE,5+,UIAA 5–7,Helenental,Helenental,Dachswandl,Main,Dachswandl,6,94,Helenental | Dachswandl | DACHSBEUTE,image-22.jpg,Readable — manual transcription,85,Yes,5+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0046,BRÖSELRISS,3+,UIAA 1–4,Helenental,Helenental,Dachswandl,Main,Dachswandl,7,94,Helenental | Dachswandl | BRÖSELRISS,image-22.jpg,Readable — manual transcription,85,Yes,3+,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0047,LITTLE OSP,9-,UIAA 8+,Helenental,Helenental,Ospwandl,Main,Ospwandl,8,95,Helenental | Ospwandl | LITTLE OSP,image-22.jpg,Readable — manual transcription,85,Yes,9-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0048,SAFT,8,UIAA 8+,Helenental,Helenental,Ospwandl,Main,Ospwandl,9,95,Helenental | Ospwandl | SAFT,image-22.jpg,Readable — manual transcription,85,Yes,8,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0049,PRIMORKA,8+/9-,UIAA 8+,Helenental,Helenental,Ospwandl,Main,Ospwandl,10,95,Helenental | Ospwandl | PRIMORKA,image-22.jpg,Readable — manual transcription,85,Yes,8+/9-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0050,COOPER HARD,8-/8,UIAA 8+,Helenental,Helenental,Ospwandl,Main,Ospwandl,11,95,Helenental | Ospwandl | COOPER HARD,image-22.jpg,Readable — manual transcription,85,Yes,8-/8,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0051,COOPER,7+/8-,UIAA 5–7,Helenental,Helenental,Ospwandl,Main,Ospwandl,12,95,Helenental | Ospwandl | COOPER,image-22.jpg,Readable — manual transcription,85,Yes,7+/8-,Aligned,APPROVED_2026-08-01,EXISTING_ALIGNED_NO_CHANGE,source-verified,NO,NO,false,Keep canonical row unchanged; retain source evidence.
GBR-20260801-0052,POLTERGEIST,7+,UIAA 5–7,Helenental,Helenental,Ospwandl,Main,Ospwandl,13,95,Helenental | Ospwandl | POLTERGEIST,image-22.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0053,UROBOR,9-,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,1,443,Höllental-Rax | Vordere Klobenwand | UROBOR,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0054,WILDE JAGD,9-,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,2,443,Höllental-Rax | Vordere Klobenwand | WILDE JAGD,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0055,ZERSTÖRER,9-,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,3,443,Höllental-Rax | Vordere Klobenwand | ZERSTÖRER,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0056,LEKTIONEN IN DEMUT,8,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,5,443,Höllental-Rax | Vordere Klobenwand | LEKTIONEN IN DEMUT,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0057,LE HOMME DE L’ACTION,9,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,6,443,Höllental-Rax | Vordere Klobenwand | LE HOMME DE L’ACTION,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0058,OPFER,9,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,7,443,Höllental-Rax | Vordere Klobenwand | OPFER,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0059,SEELE MIT HORNHAUT,9-,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,8,443,Höllental-Rax | Vordere Klobenwand | SEELE MIT HORNHAUT,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0060,DREIFREUNDEWEG,5+,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,9,443,Höllental-Rax | Vordere Klobenwand | DREIFREUNDEWEG,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0061,NEUNTÖTER,6+,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,10,443,Höllental-Rax | Vordere Klobenwand | NEUNTÖTER,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0062,DER KÄLTE TREU,7+/8-,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,11,443,Höllental-Rax | Vordere Klobenwand | DER KÄLTE TREU,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0063,CHEF IM HIMMEL,7+,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,12,443,Höllental-Rax | Vordere Klobenwand | CHEF IM HIMMEL,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0064,BIS ZUM HOLZKARTON,7,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,13,443,Höllental-Rax | Vordere Klobenwand | BIS ZUM HOLZKARTON,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0065,SCHWARZER RÜTTLER,7,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,14,443,Höllental-Rax | Vordere Klobenwand | SCHWARZER RÜTTLER,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0066,PLASIRBONGO,7-,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,15,443,Höllental-Rax | Vordere Klobenwand | PLASIRBONGO,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0067,AFFENBROTBAUM,7+,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,16,443,Höllental-Rax | Vordere Klobenwand | AFFENBROTBAUM,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0068,NEBELLEUCHTEN,8,UIAA 8+,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,17,443,Höllental-Rax | Vordere Klobenwand | NEBELLEUCHTEN,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
GBR-20260801-0069,RAKIST,7+,UIAA 5–7,Höllental-Rax,Höllental-Rax,Vordere Klobenwand,Main,Vordere Klobenwand,18,443,Höllental-Rax | Vordere Klobenwand | RAKIST,image-12.jpg,Readable — manual transcription,85,No,,No exact Row Key,APPROVED_2026-08-01,NEW_CANDIDATE_APPROVED_FOR_REPO_REVIEW,source-verified,NO,NO,false,"Review in PR, then authorize a separate canonical import."
